ensemble_name,members,weights,oof_auc
weighted__catboost__eng_no_time=0.45__lightgbm__eng_no_time_knn=0.25__xgboost__eng_no_time_knn=0.30,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.45, 0.25, 0.30000000000000004]",0.7500589455462535
weighted__catboost__eng_no_time=0.35__lightgbm__eng_no_time_knn=0.55__xgboost__eng_no_time_knn=0.10,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.35000000000000003, 0.55, 0.09999999999999987]",0.7500024861218363
weighted__catboost__eng_no_time=0.40__lightgbm__eng_no_time_knn=0.35__xgboost__eng_no_time_knn=0.25,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.4, 0.35000000000000003, 0.24999999999999994]",0.7499972847710457
weighted__catboost__eng_no_time=0.35__lightgbm__eng_no_time_knn=0.60__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.35000000000000003, 0.6000000000000001, 0.04999999999999982]",0.7499916747426925
weighted__catboost__eng_no_time=0.50__lightgbm__eng_no_time_knn=0.15__xgboost__eng_no_time_knn=0.35,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.5, 0.15000000000000002, 0.35]",0.7499615935972858
weighted__catboost__eng_no_time=0.35__lightgbm__eng_no_time_knn=0.50__xgboost__eng_no_time_knn=0.15,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.35000000000000003, 0.5, 0.1499999999999999]",0.7499301625775071
weighted__catboost__eng_no_time=0.60__lightgbm__eng_no_time_knn=0.00__xgboost__eng_no_time_knn=0.40,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.6000000000000001, 0.0, 0.3999999999999999]",0.7498625821697323
weighted__catboost__eng_no_time=0.35__lightgbm__eng_no_time_knn=0.65__xgboost__eng_no_time_knn=0.00,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.35000000000000003, 0.65, 0.0]",0.7498513992655321
weighted__catboost__eng_no_time=0.35__lightgbm__eng_no_time_knn=0.45__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.35000000000000003, 0.45, 0.1999999999999999]",0.7497595335032318
weighted__catboost__eng_no_time=0.55__lightgbm__eng_no_time_knn=0.05__xgboost__eng_no_time_knn=0.40,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.55, 0.05, 0.39999999999999997]",0.749704956472434
